epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,4998.57,2.08426,2.19177,1.80779,0.75364,0.46023,0.5392,0.28213,2.14085,2.06093,1.96576,0.0008417,0.0008417,0.0008417
119,5040.88,1.94098,2.227,1.70188,0.51945,0.50442,0.49506,0.23935,2.13879,2.10079,1.96502,0.0008318,0.0008318,0.0008318
120,5083.47,2.09157,2.28713,1.78774,0.59473,0.53246,0.54602,0.27408,2.12777,2.02312,1.99754,0.0008219,0.0008219,0.0008219
121,5125.82,2.11777,2.21624,1.86913,0.64033,0.47788,0.51817,0.24556,2.08978,1.90609,1.95459,0.000812,0.000812,0.000812
122,5168.11,1.99587,2.29641,1.7682,0.56717,0.46018,0.46315,0.21554,2.14059,2.09594,1.99306,0.0008021,0.0008021,0.0008021
123,5210.26,2.02225,2.14994,1.75189,0.59267,0.5537,0.50374,0.24689,2.02756,1.91503,1.92779,0.0007922,0.0007922,0.0007922
124,5252.59,2.05104,2.26228,1.79639,0.57072,0.49416,0.47629,0.23025,2.09944,2.00132,1.96262,0.0007823,0.0007823,0.0007823
125,5294.75,1.97667,2.15866,1.76513,0.68665,0.52212,0.54404,0.27552,2.10084,1.93469,1.96173,0.0007724,0.0007724,0.0007724
126,5337.29,2.07838,2.27007,1.81954,0.72834,0.56637,0.5669,0.30021,2.06288,1.89064,1.94862,0.0007625,0.0007625,0.0007625
127,5379.96,2.03129,2.11612,1.75357,0.64516,0.54867,0.57321,0.28396,2.08748,1.91276,1.95015,0.0007526,0.0007526,0.0007526
128,5422.27,2.01839,2.18496,1.73572,0.60086,0.58407,0.5188,0.26625,2.03977,1.98923,1.91442,0.0007427,0.0007427,0.0007427
129,5464.57,2.09057,2.1605,1.85086,0.60686,0.51912,0.55377,0.273,2.07938,1.81459,1.95101,0.0007328,0.0007328,0.0007328
130,5506.88,2.0188,2.1693,1.74553,0.66916,0.5728,0.56257,0.28175,2.07013,1.88882,1.94342,0.0007229,0.0007229,0.0007229
131,5549,1.99995,2.10228,1.78395,0.64878,0.50442,0.55572,0.27623,2.05881,1.87584,1.93038,0.000713,0.000713,0.000713
132,5591.58,1.97435,2.05802,1.71845,0.61835,0.53982,0.52241,0.26895,2.01473,1.93345,1.88749,0.0007031,0.0007031,0.0007031
133,5633.89,1.89524,2.00019,1.67131,0.65753,0.55752,0.54866,0.26968,2.0554,1.90589,1.90475,0.0006932,0.0006932,0.0006932
134,5676.12,2.00636,2.07094,1.73759,0.64687,0.55118,0.56554,0.27092,2.0603,1.82045,1.90988,0.0006833,0.0006833,0.0006833
135,5718.37,1.94726,2.02379,1.70813,0.66585,0.56432,0.5658,0.28541,2.06028,1.81104,1.94594,0.0006734,0.0006734,0.0006734
136,5760.74,2.0122,2.06902,1.72087,0.72333,0.50903,0.56154,0.28414,2.02072,1.88091,1.91027,0.0006635,0.0006635,0.0006635
137,5803.01,2.00453,2.09866,1.70831,0.65071,0.56054,0.55004,0.27693,2.02206,1.90944,1.8938,0.0006536,0.0006536,0.0006536
138,5845.61,1.97071,2.00816,1.70351,0.75487,0.5723,0.6046,0.28274,2.03601,1.8229,1.90986,0.0006437,0.0006437,0.0006437
139,5887.97,1.96981,1.9654,1.66451,0.75902,0.53097,0.60144,0.3165,1.97876,1.74165,1.89264,0.0006338,0.0006338,0.0006338
140,5930.48,1.87645,1.8922,1.71877,0.74959,0.52983,0.59989,0.28286,2.06737,1.74771,1.92649,0.0006239,0.0006239,0.0006239
141,5972.72,1.96576,2.02752,1.72555,0.6631,0.54867,0.56639,0.27791,2.04606,1.78325,1.90806,0.000614,0.000614,0.000614
142,6014.88,1.93084,1.96306,1.6834,0.7084,0.56637,0.54815,0.27188,2.00003,1.84544,1.852,0.0006041,0.0006041,0.0006041
143,6057.11,1.99413,2.06987,1.70811,0.62497,0.56637,0.55219,0.28162,1.95211,1.79832,1.83779,0.0005942,0.0005942,0.0005942
144,6099.55,1.9322,1.94117,1.66428,0.8006,0.55752,0.60173,0.30184,1.96933,1.75494,1.88164,0.0005843,0.0005843,0.0005843
145,6141.78,1.9295,2.01594,1.71467,0.77017,0.53381,0.58571,0.27775,2.051,1.82691,1.91575,0.0005744,0.0005744,0.0005744
146,6184.09,1.94398,1.99912,1.74569,0.71193,0.53982,0.57536,0.28892,1.95143,1.72313,1.8461,0.0005645,0.0005645,0.0005645
147,6226.33,2.00114,1.96765,1.70176,0.71335,0.60177,0.62056,0.30519,1.96202,1.70012,1.85625,0.0005546,0.0005546,0.0005546
148,6268.72,1.9911,2.04403,1.71844,0.60004,0.61062,0.58161,0.2851,1.94893,1.70094,1.85158,0.0005447,0.0005447,0.0005447
149,6310.97,1.92076,1.86644,1.62031,0.68635,0.58407,0.59104,0.28789,1.99031,1.7413,1.87067,0.0005348,0.0005348,0.0005348
150,6353.4,1.94507,1.99191,1.73371,0.68404,0.479,0.52551,0.25558,2.11065,1.94087,2.01122,0.0005249,0.0005249,0.0005249
151,6395.55,1.86792,1.80045,1.66877,0.81971,0.56333,0.63522,0.31465,1.96403,1.75033,1.87581,0.000515,0.000515,0.000515
152,6437.99,1.90568,1.89632,1.66831,0.80343,0.57522,0.63682,0.3101,1.96348,1.7444,1.85225,0.0005051,0.0005051,0.0005051
153,6480.13,1.86894,1.87827,1.59901,0.69057,0.5925,0.60621,0.302,1.98515,1.71999,1.86307,0.0004952,0.0004952,0.0004952
154,6522.38,1.96255,1.98175,1.70595,0.64537,0.59589,0.57189,0.2817,1.98749,1.74844,1.85103,0.0004853,0.0004853,0.0004853
155,6564.82,1.89252,1.89254,1.653,0.74745,0.55752,0.602,0.30996,1.96281,1.71578,1.84753,0.0004754,0.0004754,0.0004754
156,6607.15,1.94064,1.97099,1.72819,0.71875,0.55752,0.60686,0.30674,1.98906,1.7255,1.8568,0.0004655,0.0004655,0.0004655
157,6649.47,1.91961,1.97056,1.68602,0.76013,0.55752,0.59949,0.28771,1.99109,1.77597,1.87887,0.0004556,0.0004556,0.0004556
158,6691.89,1.9096,1.8966,1.74384,0.72035,0.61549,0.62619,0.31404,1.93232,1.71557,1.84109,0.0004457,0.0004457,0.0004457
159,6734.15,1.85519,1.87049,1.61536,0.69993,0.61947,0.62861,0.31186,1.93558,1.68387,1.83995,0.0004358,0.0004358,0.0004358
